ID,Food,Grams,Calories,Protein,Category
0,Cows' milk,976,660,32,Dairy products
1,Buttermilk,246,127,9,Dairy products
2,"Evaporated, undiluted",252,345,16,Dairy products
3,Fortified milk,"1,419","1,373",89,Dairy products
4,Powdered milk,103,515,27,Dairy products
5,Goats' milk,244,165,8,Dairy products
6,(1/2 cup ice cream),540,690,24,Dairy products
7,Cocoa,252,235,8,Dairy products
8,skim. milk,250,128,18,Dairy products
9,(cornstarch),248,275,9,Dairy products
10,Custard,248,285,13,Dairy products
11,Ice cream,188,300,6,Dairy products
12,Ice milk,190,275,9,Dairy products
13,Cream or half-and-half,120,170,4,Dairy products
14,or whipping,119,430,2,Dairy products
15,Cheese,225,240,30,Dairy products
16,Cheddar,17,70,4,Dairy products
17,"Cheddar, grated cup",56,226,14,Dairy products
18,Cream cheese,28,105,2,Dairy products
19,Processed cheese,28,105,7,Dairy products
20,Roquefort type,28,105,6,Dairy products
21,Swiss,28,105,7,Dairy products
22,Eggs raw,100,150,12,Dairy products
23,Eggs Scrambled or fried,128,220,13,Dairy products
24,Yolks,34,120,6,"Fats, Oils, Shortenings"
25,Butter,14,100,t,"Fats, Oils, Shortenings"
26,Butter,112,113,114,"Fats, Oils, Shortenings"
27,Butter,112,113,114,"Fats, Oils, Shortenings"
28,Hydrogenated cooking fat,100,665,0,"Fats, Oils, Shortenings"
29,Lard,110,992,0,"Fats, Oils, Shortenings"
30,Margarine,112,806,t,"Fats, Oils, Shortenings"
31,"Margarine, 2 pat or",14,100,t,"Fats, Oils, Shortenings"
32,Mayonnaise,15,110,t,"Fats, Oils, Shortenings"
33,Corn oil,14,125,0,"Fats, Oils, Shortenings"
34,Olive oil,14,125,0,"Fats, Oils, Shortenings"
35,Safflower seed oil,14,125,0,"Fats, Oils, Shortenings"
36,French dressing,15,60,t,"Fats, Oils, Shortenings"
37,Thousand Island sauce,15,75,t,"Fats, Oils, Shortenings"
38,Bacon,16,95,4,"Meat, Poultry"
39,Beef,85,245,23,"Meat, Poultry"
40,Hamburger,85,245,21,"Meat, Poultry"
41,Ground lean,85,185,24,"Meat, Poultry"
42,Roast beef,85,390,16,"Meat, Poultry"
43,Steak,85,330,20,"Meat, Poultry"
44,"Steak, lean, as round",85,220,24,"Meat, Poultry"
45,Corned beef,85,185,22,"Meat, Poultry"
46,Corned beef hash canned,85,120,12,"Meat, Poultry"
47,Corned beef hash Dried,56,115,19,"Meat, Poultry"
48,Pot-pie,227,480,18,"Meat, Poultry"
49,Corned beef hash Stew,235,185,15,"Meat, Poultry"
50,chicken,85,185,23,"Meat, Poultry"
51,"Fried, breast or leg and thigh chicken",85,245,25,"Meat, Poultry"
52,Roasted chicken,100,290,25,"Meat, Poultry"
53,"Chicken livers, fried",100,140,22,"Meat, Poultry"
54,"Duck, domestic",100,370,16,"Meat, Poultry"
55,"Lamb, chop, broiled",115,480,24,"Meat, Poultry"
56,Leg roasted,86,314,20,"Meat, Poultry"
57,"Shoulder, braised",85,285,18,"Meat, Poultry"
58,"Pork, chop, 1 thick",100,260,16,"Meat, Poultry"
59,Ham pan-broiled,85,290,16,"Meat, Poultry"
60,"Ham, as ",57,170,13,"Meat, Poultry"
61,"Ham, canned, spiced",57,165,8,"Meat, Poultry"
62,Pork roast,85,310,21,"Meat, Poultry"
63,Pork sausage,100,475,18,"Meat, Poultry"
64,Turkey,100,265,27,"Meat, Poultry"
65,Veal,85,185,23,"Meat, Poultry"
66,Roast,85,305,13,"Meat, Poultry"
67,Clams,85,87,12,"Fish, Seafood"
68,Cod,100,170,28,"Fish, Seafood"
69,Crab meat,85,90,14,"Fish, Seafood"
70,Fish sticks fried,112,200,19,"Fish, Seafood"
71,Flounder,100,200,30,"Fish, Seafood"
72,Haddock,85,135,16,"Fish, Seafood"
73,Halibut,100,182,26,"Fish, Seafood"
74,Herring,100,211,22,"Fish, Seafood"
75,Lobster,100,92,18,"Fish, Seafood"
76,Mackerel,85,155,18,"Fish, Seafood"
77,Oysters,230,231,232,"Fish, Seafood"
